time,for,votes_r,votes_d
6 h ago,Biden,-47052,47052
,Biden,-46667,46667
,Biden,-46257,46257
,Biden,-56833,56833
,Biden,-56833,56833
,Biden,-57844,57844
,Biden,-56547,56547
11 h ago,Biden,-57986,57986
,Biden,-58953,58953
,Biden,-61280,61280
,Biden,-65179,65179
,Biden,-67906,67906
,Biden,-67906,67906
,Biden,-68129,68129
,Biden,-68239,68239
16 h ago,Biden,-68575,68575
,Biden,-68390,68390
,Biden,-68390,68390
,Biden,-79173,79173
,Biden,-79173,79173
,Biden,-79173,79173
,Biden,-92817,92817
,Biden,-93016,93016
,Biden,-93016,93016
,Biden,-93016,93016
,Biden,-93016,93016
,Biden,-93518,93518
,Biden,-93518,93518
,Biden,-93509,93509
,Biden,-93509,93509
2 d ago,Biden,-130665,130665
