time,for,votes_r,votes_d
1 h ago,Biden,-917,917
3 h ago,Trump,463,-463
4 h ago,Trump,665,-665
5 h ago,Trump,1267,-1267
6 h ago,Trump,1709,-1709
7 h ago,Trump,1805,-1805
8 h ago,Trump,1775,-1775
8 h ago,Trump,1797,-1797
9 h ago,Trump,1902,-1902
9 h ago,Trump,2497,-2497
10 h ago,Trump,3486,-3486
10 h ago,Trump,3486,-3486
10 h ago,Trump,3486,-3486
10 h ago,Trump,3486,-3486
10 h ago,Trump,3486,-3486
10 h ago,Trump,3486,-3486
11 h ago,Trump,3486,-3486
11 h ago,Trump,3635,-3635
12 h ago,Trump,9426,-9426
13 h ago,Trump,9534,-9534
13 h ago,Trump,9535,-9535
13 h ago,Trump,9525,-9525
13 h ago,Trump,12773,-12773
14 h ago,Trump,12771,-12771
14 h ago,Trump,12765,-12765
14 h ago,Trump,12765,-12765
14 h ago,Trump,12768,-12768
15 h ago,Trump,12768,-12768
15 h ago,Trump,12764,-12764
15 h ago,Trump,12835,-12835
15 h ago,Trump,12835,-12835
15 h ago,Trump,12835,-12835
15 h ago,Trump,12835,-12835
15 h ago,Trump,12828,-12828
16 h ago,Trump,12828,-12828
16 h ago,Trump,12825,-12825
16 h ago,Trump,13220,-13220
16 h ago,Trump,13219,-13219
16 h ago,Trump,13534,-13534
17 h ago,Trump,13540,-13540
18 h ago,Trump,13539,-13539
18 h ago,Trump,14100,-14100
19 h ago,Trump,14765,-14765
19 h ago,Trump,14857,-14857
19 h ago,Trump,14857,-14857
19 h ago,Trump,18146,-18146
19 h ago,Trump,18146,-18146
20 h ago,Trump,18144,-18144
20 h ago,Trump,18586,-18586
20 h ago,Trump,18586,-18586
21 h ago,Trump,18590,-18590
1 d ago,Trump,18588,-18588
1 d ago,Trump,18540,-18540
1 d ago,Trump,23009,-23009
1 d ago,Trump,28827,-28827
1 d ago,Trump,31748,-31748
1 d ago,Trump,31748,-31748
1 d ago,Trump,31748,-31748
1 d ago,Trump,31748,-31748
1 d ago,Trump,31748,-31748
1 d ago,Trump,31748,-31748
1 d ago,Trump,33300,-33300
1 d ago,Trump,37322,-37322
1 d ago,Trump,37370,-37370
1 d ago,Trump,38996,-38996
1 d ago,Trump,39921,-39921
1 d ago,Trump,39811,-39811
1 d ago,Trump,39811,-39811
1 d ago,Trump,39817,-39817
1 d ago,Trump,45991,-45991
1 d ago,Trump,45941,-45941
1 d ago,Trump,45941,-45941
1 d ago,Trump,46088,-46088
1 d ago,Trump,47827,-47827
1 d ago,Trump,47111,-47111
1 d ago,Trump,56739,-56739
1 d ago,Trump,57266,-57266
1 d ago,Trump,57266,-57266
2 d ago,Trump,57266,-57266
2 d ago,Trump,57397,-57397
2 d ago,Trump,60598,-60598
2 d ago,Trump,67644,-67644
2 d ago,Trump,68363,-68363
2 d ago,Trump,68363,-68363
2 d ago,Trump,68315,-68315
2 d ago,Trump,67948,-67948
2 d ago,Trump,77636,-77636
2 d ago,Trump,77546,-77546
2 d ago,Trump,77988,-77988
2 d ago,Trump,77967,-77967
2 d ago,Trump,78429,-78429
2 d ago,Trump,78423,-78423
2 d ago,Trump,78424,-78424
2 d ago,Trump,79509,-79509
2 d ago,Trump,83331,-83331
2 d ago,Trump,83076,-83076
2 d ago,Trump,83075,-83075
2 d ago,Trump,83102,-83102
2 d ago,Trump,82987,-82987
2 d ago,Trump,85835,-85835
2 d ago,Trump,87376,-87376
2 d ago,Trump,87617,-87617
2 d ago,Trump,87608,-87608
2 d ago,Trump,101837,-101837
2 d ago,Trump,103620,-103620
2 d ago,Trump,103705,-103705
2 d ago,Trump,103760,-103760
