time,for,votes_r,votes_d
6 h ago,Biden,-47052,47052
8 h ago,Biden,-46667,46667
10 h ago,Biden,-46257,46257
10 h ago,Biden,-56833,56833
10 h ago,Biden,-56833,56833
10 h ago,Biden,-57844,57844
11 h ago,Biden,-56547,56547
11 h ago,Biden,-57986,57986
11 h ago,Biden,-58953,58953
11 h ago,Biden,-61280,61280
13 h ago,Biden,-65179,65179
13 h ago,Biden,-67906,67906
15 h ago,Biden,-67906,67906
16 h ago,Biden,-68129,68129
16 h ago,Biden,-68239,68239
16 h ago,Biden,-68575,68575
1 d ago,Biden,-68390,68390
1 d ago,Biden,-68390,68390
1 d ago,Biden,-79173,79173
1 d ago,Biden,-79173,79173
1 d ago,Biden,-79173,79173
1 d ago,Biden,-92817,92817
1 d ago,Biden,-93016,93016
2 d ago,Biden,-93016,93016
2 d ago,Biden,-93016,93016
2 d ago,Biden,-93016,93016
2 d ago,Biden,-93518,93518
2 d ago,Biden,-93518,93518
2 d ago,Biden,-93509,93509
2 d ago,Biden,-93509,93509
2 d ago,Biden,-130665,130665
