time,for,votes_r,votes_d
5 h ago,Trump,18229,-18229
7 h ago,Trump,22576,-22576
7 h ago,Trump,23953,-23953
7 h ago,Trump,24484,-24484
8 h ago,Trump,26319,-26319
8 h ago,Trump,36572,-36572
9 h ago,Trump,41305,-41305
9 h ago,Trump,42142,-42142
10 h ago,Trump,48854,-48854
10 h ago,Trump,50671,-50671
10 h ago,Trump,53221,-53221
10 h ago,Trump,53221,-53221
10 h ago,Trump,58286,-58286
10 h ago,Trump,60751,-60751
11 h ago,Trump,63725,-63725
11 h ago,Trump,64266,-64266
12 h ago,Trump,64237,-64237
12 h ago,Trump,73609,-73609
12 h ago,Trump,73566,-73566
12 h ago,Trump,75427,-75427
12 h ago,Trump,78314,-78314
13 h ago,Trump,78314,-78314
13 h ago,Trump,90027,-90027
14 h ago,Trump,90542,-90542
14 h ago,Trump,90542,-90542
14 h ago,Trump,95670,-95670
14 h ago,Trump,97224,-97224
14 h ago,Trump,97908,-97908
15 h ago,Trump,97900,-97900
15 h ago,Trump,97900,-97900
15 h ago,Trump,106980,-106980
15 h ago,Trump,108367,-108367
16 h ago,Trump,108602,-108602
16 h ago,Trump,108592,-108592
16 h ago,Trump,108772,-108772
16 h ago,Trump,109754,-109754
16 h ago,Trump,111369,-111369
17 h ago,Trump,111369,-111369
17 h ago,Trump,114011,-114011
18 h ago,Trump,114341,-114341
18 h ago,Trump,115069,-115069
19 h ago,Trump,116224,-116224
19 h ago,Trump,121856,-121856
19 h ago,Trump,121857,-121857
19 h ago,Trump,132611,-132611
20 h ago,Trump,135626,-135626
20 h ago,Trump,135671,-135671
21 h ago,Trump,135655,-135655
21 h ago,Trump,135702,-135702
21 h ago,Trump,135702,-135702
21 h ago,Trump,142466,-142466
1 d ago,Trump,142466,-142466
1 d ago,Trump,164414,-164414
1 d ago,Trump,182743,-182743
1 d ago,Trump,182561,-182561
1 d ago,Trump,184397,-184397
1 d ago,Trump,186755,-186755
1 d ago,Trump,190984,-190984
1 d ago,Trump,192380,-192380
1 d ago,Trump,192380,-192380
1 d ago,Trump,195953,-195953
1 d ago,Trump,200360,-200360
1 d ago,Trump,200360,-200360
1 d ago,Trump,203700,-203700
1 d ago,Trump,203781,-203781
1 d ago,Trump,212236,-212236
1 d ago,Trump,245891,-245891
1 d ago,Trump,256058,-256058
2 d ago,Trump,266234,-266234
2 d ago,Trump,265676,-265676
2 d ago,Trump,266754,-266754
2 d ago,Trump,266652,-266652
2 d ago,Trump,268846,-268846
2 d ago,Trump,276979,-276979
2 d ago,Trump,292148,-292148
2 d ago,Trump,292412,-292412
2 d ago,Trump,301386,-301386
2 d ago,Trump,303293,-303293
2 d ago,Trump,303293,-303293
2 d ago,Trump,308243,-308243
2 d ago,Trump,308167,-308167
2 d ago,Trump,319377,-319377
2 d ago,Trump,319377,-319377
2 d ago,Trump,319377,-319377
2 d ago,Trump,319377,-319377
2 d ago,Trump,319876,-319876
2 d ago,Trump,319931,-319931
2 d ago,Trump,337616,-337616
2 d ago,Trump,343462,-343462
2 d ago,Trump,349685,-349685
2 d ago,Trump,353834,-353834
2 d ago,Trump,356423,-356423
2 d ago,Trump,379700,-379700
2 d ago,Trump,388889,-388889
2 d ago,Trump,398656,-398656
2 d ago,Trump,424125,-424125
2 d ago,Trump,435204,-435204
2 d ago,Trump,435231,-435231
2 d ago,Trump,448129,-448129
2 d ago,Trump,451993,-451993
2 d ago,Trump,459000,-459000
2 d ago,Trump,458915,-458915
2 d ago,Trump,461765,-461765
2 d ago,Trump,463576,-463576
2 d ago,Trump,463710,-463710
2 d ago,Trump,463965,-463965
2 d ago,Trump,466625,-466625
2 d ago,Trump,469423,-469423
2 d ago,Trump,472593,-472593
2 d ago,Trump,472623,-472623
2 d ago,Trump,472622,-472622
2 d ago,Trump,492350,-492350
2 d ago,Trump,499120,-499120
2 d ago,Trump,499121,-499121
2 d ago,Trump,504890,-504890
2 d ago,Trump,512636,-512636
2 d ago,Trump,512933,-512933
2 d ago,Trump,534180,-534180
2 d ago,Trump,540587,-540587
2 d ago,Trump,540594,-540594
2 d ago,Trump,541492,-541492
2 d ago,Trump,542774,-542774
2 d ago,Trump,550001,-550001
2 d ago,Trump,587656,-587656
2 d ago,Trump,589367,-589367
2 d ago,Trump,589382,-589382
2 d ago,Trump,616079,-616079
2 d ago,Trump,618840,-618840
