time,for,votes_r,votes_d
1 h ago,Biden,-917,917
,Trump,463,-463
,Trump,665,-665
,Trump,1267,-1267
,Trump,1709,-1709
,Trump,1805,-1805
,Trump,1775,-1775
,Trump,1797,-1797
,Trump,1902,-1902
,Trump,2497,-2497
,Trump,3486,-3486
,Trump,3486,-3486
10 h ago,Trump,3486,-3486
,Trump,3486,-3486
,Trump,3486,-3486
,Trump,3486,-3486
,Trump,3486,-3486
,Trump,3635,-3635
,Trump,9426,-9426
,Trump,9534,-9534
,Trump,9535,-9535
,Trump,9525,-9525
,Trump,12773,-12773
,Trump,12771,-12771
,Trump,12765,-12765
,Trump,12765,-12765
,Trump,12768,-12768
15 h ago,Trump,12768,-12768
,Trump,12764,-12764
,Trump,12835,-12835
,Trump,12835,-12835
,Trump,12835,-12835
,Trump,12835,-12835
,Trump,12828,-12828
,Trump,12828,-12828
,Trump,12825,-12825
,Trump,13220,-13220
,Trump,13219,-13219
,Trump,13534,-13534
,Trump,13540,-13540
,Trump,13539,-13539
,Trump,14100,-14100
,Trump,14765,-14765
,Trump,14857,-14857
,Trump,14857,-14857
,Trump,18146,-18146
,Trump,18146,-18146
,Trump,18144,-18144
,Trump,18586,-18586
,Trump,18586,-18586
21 h ago,Trump,18590,-18590
,Trump,18588,-18588
,Trump,18540,-18540
,Trump,23009,-23009
,Trump,28827,-28827
,Trump,31748,-31748
,Trump,31748,-31748
,Trump,31748,-31748
,Trump,31748,-31748
,Trump,31748,-31748
,Trump,31748,-31748
,Trump,33300,-33300
,Trump,37322,-37322
,Trump,37370,-37370
,Trump,38996,-38996
,Trump,39921,-39921
,Trump,39811,-39811
,Trump,39811,-39811
,Trump,39817,-39817
,Trump,45991,-45991
,Trump,45941,-45941
,Trump,45941,-45941
,Trump,46088,-46088
,Trump,47827,-47827
,Trump,47111,-47111
,Trump,56739,-56739
,Trump,57266,-57266
1 d ago,Trump,57266,-57266
,Trump,57266,-57266
,Trump,57397,-57397
,Trump,60598,-60598
,Trump,67644,-67644
,Trump,68363,-68363
,Trump,68363,-68363
,Trump,68315,-68315
,Trump,67948,-67948
,Trump,77636,-77636
,Trump,77546,-77546
,Trump,77988,-77988
,Trump,77967,-77967
,Trump,78429,-78429
,Trump,78423,-78423
,Trump,78424,-78424
,Trump,79509,-79509
,Trump,83331,-83331
,Trump,83076,-83076
,Trump,83075,-83075
,Trump,83102,-83102
,Trump,82987,-82987
,Trump,85835,-85835
,Trump,87376,-87376
,Trump,87617,-87617
,Trump,87608,-87608
,Trump,101837,-101837
,Trump,103620,-103620
,Trump,103705,-103705
2 d ago,Trump,103760,-103760
