time,for,votes_r,votes_d
6 m ago,Biden,-5587,5587
,Trump,18049,-18049
,Trump,18049,-18049
,Trump,18049,-18049
,Trump,18047,-18047
,Trump,18229,-18229
,Trump,22576,-22576
,Trump,23953,-23953
,Trump,24484,-24484
,Trump,26319,-26319
,Trump,36572,-36572
,Trump,41305,-41305
,Trump,42142,-42142
,Trump,48854,-48854
,Trump,50671,-50671
,Trump,53221,-53221
,Trump,53221,-53221
,Trump,58286,-58286
10 h ago,Trump,60751,-60751
,Trump,63725,-63725
,Trump,64266,-64266
,Trump,64237,-64237
,Trump,73609,-73609
,Trump,73566,-73566
,Trump,75427,-75427
,Trump,78314,-78314
,Trump,78314,-78314
,Trump,90027,-90027
,Trump,90542,-90542
,Trump,90542,-90542
,Trump,95670,-95670
,Trump,97224,-97224
,Trump,97908,-97908
,Trump,97900,-97900
15 h ago,Trump,97900,-97900
,Trump,106980,-106980
,Trump,108367,-108367
,Trump,108602,-108602
,Trump,108592,-108592
,Trump,108772,-108772
,Trump,109754,-109754
,Trump,111369,-111369
,Trump,111369,-111369
,Trump,114011,-114011
,Trump,114341,-114341
,Trump,115069,-115069
,Trump,116224,-116224
,Trump,121856,-121856
,Trump,121857,-121857
,Trump,132611,-132611
,Trump,135626,-135626
,Trump,135671,-135671
,Trump,135655,-135655
,Trump,135702,-135702
,Trump,135702,-135702
21 h ago,Trump,142466,-142466
,Trump,142466,-142466
,Trump,164414,-164414
,Trump,182743,-182743
,Trump,182561,-182561
,Trump,184397,-184397
,Trump,186755,-186755
,Trump,190984,-190984
,Trump,192380,-192380
,Trump,192380,-192380
,Trump,195953,-195953
,Trump,200360,-200360
,Trump,200360,-200360
,Trump,203700,-203700
,Trump,203781,-203781
,Trump,212236,-212236
,Trump,245891,-245891
1 d ago,Trump,256058,-256058
,Trump,266234,-266234
,Trump,265676,-265676
,Trump,266754,-266754
,Trump,266652,-266652
,Trump,268846,-268846
,Trump,276979,-276979
,Trump,292148,-292148
,Trump,292412,-292412
,Trump,301386,-301386
,Trump,303293,-303293
,Trump,303293,-303293
,Trump,308243,-308243
,Trump,308167,-308167
,Trump,319377,-319377
,Trump,319377,-319377
,Trump,319377,-319377
,Trump,319377,-319377
,Trump,319876,-319876
,Trump,319931,-319931
,Trump,337616,-337616
,Trump,343462,-343462
,Trump,349685,-349685
,Trump,353834,-353834
,Trump,356423,-356423
,Trump,379700,-379700
,Trump,388889,-388889
,Trump,398656,-398656
,Trump,424125,-424125
,Trump,435204,-435204
,Trump,435231,-435231
,Trump,448129,-448129
,Trump,451993,-451993
,Trump,459000,-459000
,Trump,458915,-458915
,Trump,461765,-461765
,Trump,463576,-463576
,Trump,463710,-463710
,Trump,463965,-463965
,Trump,466625,-466625
,Trump,469423,-469423
,Trump,472593,-472593
,Trump,472623,-472623
,Trump,472622,-472622
,Trump,492350,-492350
,Trump,499120,-499120
,Trump,499121,-499121
,Trump,504890,-504890
,Trump,512636,-512636
,Trump,512933,-512933
,Trump,534180,-534180
,Trump,540587,-540587
,Trump,540594,-540594
,Trump,541492,-541492
,Trump,542774,-542774
,Trump,550001,-550001
,Trump,587656,-587656
,Trump,589367,-589367
,Trump,589382,-589382
,Trump,616079,-616079
2 d ago,Trump,618840,-618840
